,Yields,Predicted Yields
162,GOOD YIELD,GOOD YIELD
163,GOOD YIELD,GOOD YIELD
164,GOOD YIELD,GOOD YIELD
165,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
166,GOOD YIELD,BELOW AVERAGE YIELD
167,POOR YIELD,AVERAGE YIELD
168,POOR YIELD,AVERAGE YIELD
169,BELOW AVERAGE YIELD,AVERAGE YIELD
170,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
171,POOR YIELD,AVERAGE YIELD
172,POOR YIELD,GOOD YIELD
173,GOOD YIELD,GOOD YIELD
