,PRODUCT
ClC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2,2
ClC1=CC=CC=C1OC2=CC=C(C#N)C=C2,2
O=C(C(C=C1)=CC=C1C2=CC=CC=C2)OC,2
CC(C=C1)=CC=C1SC2=CC=C([N+]#[C-])C=C2,2
N#CC(C=C1)=CC=C1C2=CC=CC=C2,2
CC1=C(OC2=CC=CC=C2)C=CC=C1,2
C1(C2=CC=CC=C2)=CC=CN=C1,2
CC1=CC=CC=C1OC2=CC=C(OC)C=C2,2
CC(C(C=C1)=CC=C1OC2=CC=C(OC)C=C2)(C)C,2
C12=CC=CC=C1N=C(C3=CC=CC=C3)C=C2,2
FC(C1=CC=CC(SC2=CC=CC=C2)=C1)(F)F,2
ClC(C=C1)=CC=C1OC2=CC=CC=C2,2
O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C,2
O=C(C)C1=CC=CC(OC2=CC=CC=C2)=C1,2
CC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2,2
C1(C2=CC=CC=C2)=CC=C(C3=CC=CC=C3)C=C1,2
COC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1,2
N#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,2
ClC(C=C2)=CC=C2C#CC1=CC=NC=C1,2
CC1=CC=C(C#CC2=CN=CC=C2)C=C1,2
O=[N+](C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)[O-],2
CC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2,2
CC1=CC=C(C#CC#CC2=CC=C(C)C=C2)C=C1,2
CC1=CC=C(C#CC2=CC=C(F)C=C2)C=C1,2
CC1=CC=C(C#CC2=CC=C(Cl)C=C2)C=C1,2
CCCCCCC#CC#CC1=CC=CC=C1,2
FC1=CC=C(C#CC2=CC=CC=C2)C=C1,2
ClC(C=C2)=CC=C2C#CC1=CC=CC=C1,2
FC(F)(F)C1=CC=C(C#CC2=CC=CC=C2)C=C1,2
CC(C=C2)=CC=C2C#CC1=CC=C(C(C)=O)C=C1,2
O=C(OC)C1=CC=C(C#CC(CCCCC)=O)C=C1,2
CC1=C(OC2=CC=C(OC)C=C2)C=CC([N+]([O-])=O)=C1,2
O=[N+](C1=CC=C(OC2=CN=CC=C2)C=C1)[O-],2
ClC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
CC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
COC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,2
CC1=CC=C(C#CC2=CC=C(N)C=C2)C=C1,2
C1(C#CC2=NC=CC=C2)=CC=CC=C1,2
CC1=CC=C(C#CC2=C(C)C=CC=C2)C=C1,2
COC1=CC=CC=C1C#CC2=CC=CC=C2,2
NC2=CC=C(C=C2)C#CC1=CC=CC=C1,2
CC(C=C1)=CC=C1OC2=CC=C(C)C=C2C,1
COC(C=C1)=CC=C1OC2=CC=CC(C(O)=O)=C2,1
BrC1=CC=C(C#CC2=CC=CC=C2)C=C1,1
CC(C(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2)(C)C,1
