si no,Smiles
73,CC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
74,CC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
75,ClC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
76,ClC1=CC=CC=C1OC2=CC=C([N+]([O-])=O)C=C2
77,O=[N+](C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2)C=C1)[O-]
78,O=[N+](C1=CC=C(OC2=CN=CC=C2)C=C1)[O-]
79,CC1=C(OC2=CC=C(OC)C=C2)C=CC([N+]([O-])=O)=C1
80,O=[N+](C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)[O-]
81,O=[N+](C1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1)[O-]
82,N#CC1=CC=C(OC2=CC=C(OC)C=C2)C=C1
83,CC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
84,CC1=CC=CC=C1OC2=CC=C(C#N)C=C2
85,N#CC1=CC=C(OC2=CC=CC=C2)C=C1
86,ClC(C=C1)=CC=C1OC2=CC=C(C#N)C=C2
87,ClC1=CC=CC=C1OC2=CC=C(C#N)C=C2
88,O=C(C)C1=CC=C(OC2=CC=CC=C2)C=C1
89,O=C(C)C1=CC=C(OC2=CC=C(C)C=C2)C=C1
90,O=[N+](C1=CC=C(OC2=CC=CC=C2)C=C1)[O-]
91,O=[N+](C1=CC=C(OC2=CC=C(OC)C=C2)C=C1)[O-]
92,O=[N+](C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)[O-]
93,C1(OC2=CC=CC=C2)=CC=CC=C1
94,CC1=CC=C(OC2=CC=CC=C2)C=C1
95,COC(C=C1)=CC=C1OC2=CC=CC=C2
96,ClC(C=C1)=CC=C1OC2=CC=CC=C2
97,CC1=C(OC2=CC=CC=C2)C=CC=C1
98,CC1=CC=CC=C1OC2=CC=CC=C2
99,FC(C1=CC(OC2=CC=CC=C2)=CC=C1)(F)F
100,CC1=CC(OC2=CC=C(OC)C=C2)=CC(C)=C1
101,CC1=CC(OC2=CC=CC=C2)=CC=C1
102,C1(OC2=CC=CC=C2)=CN=CC=C1
103,C1(OC2=CN=CC=C2)=CC=CC=C1
104,O=[N+]([O-])C1=CC=C(C=C1)OC2=CC=CC=C2
105,CC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
106,ClC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
107,COC1=CC=C(OC2=CC=C([N+]([O-])=O)C=C2)C=C1
108,CC1=CC(OC2=CC=C([N+]([O-])=O)C=C2)=CC=C1
109,O=[N+](C(C=C1)=CC=C1OC2=CN=CC=C2)[O-]
110,O=[N+](C(C=C1)=CC=C1OC2=CC=CC3=C2C=CC=C3)[O-]
111,O=[N+](C(C=C1)=CC=C1OC2=CC=C(C#N)C=C2)[O-]
112,CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2
113,O=C(C(C=C1)=CC=C1OC2=CC=CC=C2)C
114,CC1=CC=C(OC2=CC=C(C(C)=O)C=C2)C=C1
115,O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C
116,O=[N+](C(C=C1)=CC=C1OC2=CC=C(OC)C=C2)[O-]
117,N#CC(C=C1)=CC=C1OC2=CC=CC=C2
118,CC1=CC=C(OC2=CC=C(C#N)C=C2)C=C1
119,N#CC(C=C1)=CC=C1OC2=CC=C(OC)C=C2
120,N#CC(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2
121,ClC1=CC=C(OC2=CC=C(C#N)C=C2)C=C1
122,CC1=C(OC2=CC=C(C#N)C=C2)C=CC=C1
123,CC1=CC=CC(OC2=CC=C(C#N)C=C2)=C1
124,ClC1=C(OC2=CC=C(C#N)C=C2)C=CC=C1
125,N#CC(C=C1)=CC=C1OC2=CN=CC=C2.OC3=CN=CC=C3
