,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
1937,74.0,65.51968503937007,75.14350000000002,scope,1-ethynyl-4-methylbenzene
1938,23.0,38.68284789644013,33.9305,optimization,Nitrobenzene
1939,1.0,38.68284789644013,48.35034986431699,optimization,1-ethynyl-4-methylbenzene
1940,70.0,65.51968503937007,71.88718290043289,scope,phenylacetylene
1941,31.0,38.68284789644013,22.04,optimization,Acetophenone
1942,78.0,38.68284789644013,82.37172294372294,optimization,Nitrobenzene
1943,38.0,38.68284789644013,50.52666666666667,optimization,Nitrobenzene
1944,34.0,30.097560975609756,49.93342717091127,Optimization,Phenylacetylene
1945,20.0,38.68284789644013,3.24,optimization,Acetophenone
1946,1.0,38.68284789644013,56.27406926406927,optimization,Phenylacetylene
1947,25.0,38.68284789644013,9.08,optimization,Acetophenone
1948,29.0,38.68284789644013,27.26421887031097,optimization,1-ethynyl-4-methylbenzene
1949,72.0,38.68284789644013,68.325,optimization,Nitrobenzene
1950,30.0,38.68284789644013,7.772632575757575,optimization,Acetophenone
1951,1.0,30.097560975609756,49.93342717091127,Optimization,Phenylacetylene
1952,45.0,38.68284789644013,27.65192857142857,optimization,Phenylacetylene
1953,80.0,65.51968503937007,75.931,scope,phenylacetylene
1954,52.0,38.68284789644013,26.596218870310974,optimization,1-ethynyl-4-methylbenzene
1955,0.0,38.68284789644013,37.62475,optimization,Acetophenone
1956,84.0,38.68284789644013,47.065824675324684,optimization,Acetophenone
1957,65.0,38.68284789644013,47.065824675324684,optimization,Acetophenone
1958,99.0,38.68284789644013,52.225583333333326,optimization,Nitrobenzene
1959,1.0,30.097560975609756,29.8995,Optimization,Phenylacetylene
1960,21.0,49.42857142857143,66.0460700146087,Scope,Phenylacetylene
1961,20.0,38.68284789644013,41.22,optimization,Nitrobenzene
1962,84.0,65.51968503937007,71.32,scope,Nitrobenzene
1963,74.0,38.68284789644013,24.84,optimization,phenylacetylene
1964,15.0,38.68284789644013,14.663465034965034,optimization,1-ethynyl-4-methylbenzene
1965,1.0,38.68284789644013,22.16,optimization,Acetophenone
1966,73.0,38.68284789644013,69.06114285714284,optimization,phenylacetylene
1967,82.0,38.68284789644013,71.67744993894995,optimization,Acetophenone
1968,36.0,38.68284789644013,54.189263347763344,optimization,Acetophenone
1969,27.0,38.68284789644013,11.357999999999999,optimization,1-ethynyl-4-methylbenzene
1970,73.0,65.51968503937007,51.708,scope,phenylacetylene
1971,44.0,38.68284789644013,40.39516666666667,optimization,Phenylacetylene
1972,62.0,38.68284789644013,47.439555555555565,optimization,Acetophenone
1973,89.0,49.42857142857143,42.98665042611327,Scope,Phenylacetylene
1974,1.0,38.68284789644013,27.16,optimization,Nitrobenzene
1975,78.0,65.51968503937007,67.06671428571428,scope,2-ethynylpyridine
1976,50.0,38.68284789644013,66.80199999999999,optimization,Nitrobenzene
1977,91.0,65.51968503937007,70.37883333333333,scope,(trifluoromethyl)benzene
1978,36.0,65.51968503937007,49.77054545454544,scope,benzonitrile
1979,1.0,38.68284789644013,24.76125,optimization,Acetophenone
