,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,Stratification_type,RMSE,MAE,Correlation,Accuracy,Precession
23,Dataset,knn_classification,RDkitFP,,,0.2,5,no_stratification,,,,0.45595854922279794,0.4422769543737286
24,Dataset,knn_classification_HPT,DRFP,,,0.2,5,mechanism,,,,0.538860103626943,0.502775171982489
25,Dataset,knn_classification_HPT,DRFP,,,0.2,5,substrate_class,,,,0.45595854922279794,0.45151775715885456
26,Dataset,knn_classification_HPT,DRFP,,,0.2,5,coupling_partner_class,,,,0.47668393782383417,0.45317996311601383
27,Dataset,knn_classification_HPT,DRFP,,,0.2,5,no_stratification,,,,0.533678756476684,0.5142060401978322
28,Dataset,knn_classification_HPT,RDkitFP,,,0.2,5,mechanism,,,,0.40414507772020725,0.39512039521036446
29,Dataset,knn_classification_HPT,RDkitFP,,,0.2,5,substrate_class,,,,0.40932642487046633,0.44680538684709825
30,Dataset,knn_classification_HPT,RDkitFP,,,0.2,5,coupling_partner_class,,,,0.44041450777202074,0.4320218816271448
31,Dataset,knn_classification_HPT,RDkitFP,,,0.2,5,no_stratification,,,,0.43005181347150256,0.400186877076412
32,Dataset,knn_classification,DRFP,,,0.3,10,mechanism,,,,0.47750865051903113,0.4889269459709924
33,Dataset,knn_classification,DRFP,,,0.3,10,substrate_class,,,,0.4463667820069204,0.4328989730905408
34,Dataset,knn_classification,DRFP,,,0.3,10,coupling_partner_class,,,,0.4602076124567474,0.4599002849002849
35,Dataset,knn_classification,DRFP,,,0.3,10,no_stratification,,,,0.4359861591695502,0.3926225341741785
36,Dataset,knn_classification,RDkitFP,,,0.3,10,mechanism,,,,0.3633217993079585,0.3531459753712806
37,Dataset,knn_classification,RDkitFP,,,0.3,10,substrate_class,,,,0.3806228373702422,0.37923308392973326
38,Dataset,knn_classification,RDkitFP,,,0.3,10,coupling_partner_class,,,,0.42560553633217996,0.43319462114786544
39,Dataset,knn_classification,RDkitFP,,,0.3,10,no_stratification,,,,0.43252595155709345,0.42451057714215606
40,Dataset,knn_classification_HPT,DRFP,,,0.3,10,mechanism,,,,0.5155709342560554,0.498331132629108
41,Dataset,knn_classification_HPT,DRFP,,,0.3,10,substrate_class,,,,0.4532871972318339,0.4352707477707478
42,Dataset,knn_classification_HPT,DRFP,,,0.3,10,coupling_partner_class,,,,0.4740484429065744,0.4463690476190476
43,Dataset,knn_classification_HPT,DRFP,,,0.3,10,no_stratification,,,,0.47058823529411764,0.43003524505339386
44,Dataset,knn_classification_HPT,RDkitFP,,,0.3,10,mechanism,,,,0.4117647058823529,0.3988659225728191
45,Dataset,knn_classification_HPT,RDkitFP,,,0.3,10,substrate_class,,,,0.4083044982698962,0.40229362858974677
46,Dataset,knn_classification_HPT,RDkitFP,,,0.3,10,coupling_partner_class,,,,0.41522491349480967,0.37658694004043414
47,Dataset,knn_classification_HPT,RDkitFP,,,0.3,10,no_stratification,,,,0.4117647058823529,0.3896016195544498
48,Dataset,knn_classification,DRFP,,,0.3,5,mechanism,,,,0.43252595155709345,0.45581309147596816
49,Dataset,knn_classification,DRFP,,,0.3,5,substrate_class,,,,0.4913494809688581,0.49333293006750045
50,Dataset,knn_classification,DRFP,,,0.3,5,coupling_partner_class,,,,0.47058823529411764,0.4620758838385507
51,Dataset,knn_classification,DRFP,,,0.3,5,no_stratification,,,,0.5086505190311419,0.5113200280112045
52,Dataset,knn_classification,RDkitFP,,,0.3,5,mechanism,,,,0.36678200692041524,0.34004778410814546
53,Dataset,knn_classification,RDkitFP,,,0.3,5,substrate_class,,,,0.40484429065743943,0.40340145405669603
54,Dataset,knn_classification,RDkitFP,,,0.3,5,coupling_partner_class,,,,0.4083044982698962,0.4106820588370701
