FileName,number_of_atoms,charge,multiplicity,dipole,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
C#CCOC,11,0,1,1.7773,1179.3791,-231.176442,0.089135,0.095218,0.096162,0.060183,-231.088619,-231.082536,-231.081592,-231.117571,-0.26838,-0.00153,0.134955,0.133425
COC1=CC=C(C#C)C=C1,17,0,2,7.5216,1680.7343,-422.237191,0.129033,0.137671,0.138616,0.094342,-422.108158,-422.09952,-422.098575,-422.142849,0,0,0,0
FC1=CC=C(B(O)O)C=C1,19,0,1,2.4504,2469.1775,-447.6100272,0.152686,0.162037,0.162981,0.118057,-447.458591,-447.44924,-447.448296,-447.49322,-0.23983,-0.03405,0.13694,0.10289
OB(O)C1=CC=CC=C1C,16,0,1,4.1259,2415.6224,-867.8887118,0.115132,0.124184,0.125128,0.080188,-867.776459,-867.767407,-867.766463,-867.811403,-0.25295,-0.04793,0.15044,0.10251
OB(O)C1=CC=CC(Cl)=C1,16,0,1,4.2829,2174.6085,-507.5351384,0.116411,0.125108,0.126053,0.08238,-507.420647,-507.411949,-507.411005,-507.454678,-0.25529,-0.03835,0.14682,0.10847
CC(C)C(B(O)O)\C=C/CC,28,0,1,1.9676,2566.223,-490.5308856,0.24701,0.261064,0.262008,0.205887,-490.285358,-490.271304,-490.27036,-490.32648,-0.23331,-0.02587,0.12959,0.10372
OC1=CC=CC=C1,13,0,1,1.6719,864.8635,-307.4807858,0.103544,0.108723,0.109667,0.074723,-307.377777,-307.372599,-307.371655,-307.406598,-0.25105,-0.01976,0.135405,0.115645
OC1=CC=C(OC)C=C1,16,0,1,1.5272,1388.5854,-346.7892038,0.132525,0.138826,0.13977,0.102064,-346.657803,-346.651502,-346.650558,-346.688264,-0.24785,-0.01766,0.132755,0.115095
CC1=CC=CC=C1O,16,0,1,1.7945,1273.5181,-346.8078513,0.132296,0.139479,0.140423,0.101292,-346.67605,-346.668868,-346.667924,-346.707055,-0.22821,-0.01317,0.12069,0.10752
OC1=CC=C(C)C=C1,16,0,1,1.8968,1109.593,-346.8015508,0.130995,0.138065,0.139009,0.098581,-346.671105,-346.664035,-346.663091,-346.703519,-0.24012,-0.01815,0.129135,0.110985
CC1=CC=C(C#C)C=C1,16,0,2,7.85,1306.8935,-347.0324292,0.124535,0.133066,0.134011,0.089102,-346.907894,-346.899363,-346.898419,-346.943327,0,0,0,0
OC1=CC=C(Cl)C=C1,13,0,1,2.212,1358.8855,-767.0764499,0.09399,0.100338,0.101282,0.062912,-766.984565,-766.978217,-766.977273,-767.015644,-0.25449,-0.03545,0.14497,0.10952
OB(C1=CC=C(C=O)C=C1)O,18,0,1,6.0415,2198.8875,-521.6258511,0.134031,0.143885,0.144829,0.098307,-521.49182,-521.481966,-521.481022,-521.527544,-0.26455,-0.08178,0.173165,0.091385
C#CC1=CN=CC=C1,12,0,2,7.4808,863.8135,-323.7307341,0.084496,0.090382,0.091326,0.053602,-323.651239,-323.645352,-323.644408,-323.682133,0,0,0,0
OB(C1=CC=CC=C1)O,16,0,1,2.3509,1270.9691,-408.2930097,0.124702,0.13257,0.133515,0.091954,-408.168308,-408.160439,-408.159495,-408.201055,-0.25034,-0.03241,0.141375,0.108965
OB(O)C1=CC=C(OC)C=C1,20,0,1,2.0275,2284.1812,-522.8254743,0.157403,0.167832,0.168776,0.121214,-522.668072,-522.657642,-522.656698,-522.70426,-0.22381,-0.02807,0.12594,0.09787
OB(O)C1=CC=C(Cl)C=C1,16,0,1,4.3251,2192.1768,-867.8919696,0.115148,0.124203,0.125147,0.080225,-867.776821,-867.767767,-867.766823,-867.811745,-0.25055,-0.04273,0.14664,0.10391
CC1(C)COB(C2=CC=CC=C2)OC1,29,0,1,2.4564,3110.2541,-603.5923755,0.246953,0.259712,0.260657,0.207679,-603.420092,-603.407333,-603.406389,-603.459366,-0.26054,-0.04963,0.155085,0.105455
SC1=CC=C(OC)C=C1,17,0,1,1.1382,1762.8218,-744.9673048,0.130981,0.138572,0.139516,0.098223,-744.846408,-744.838817,-744.837873,-744.879166,-0.25164,-0.03654,0.14409,0.10755
SC1=CC=C(C)C=C1,16,0,1,2.4503,1362.0779,-669.7641756,0.126564,0.134045,0.134989,0.093458,-669.645991,-669.638511,-669.637567,-669.679098,-0.24701,-0.03122,0.139115,0.107895
SC1=CC=C(C#N)C=C1,14,0,1,3.4368,1710.7003,-722.6845864,0.098,0.106066,0.10701,0.064718,-722.602452,-722.594386,-722.593442,-722.635734,-0.26812,-0.07583,0.171975,0.096145
SC1=CC=C(N)C=C1,15,0,1,2.2454,1331.4489,-685.7941783,0.115923,0.123734,0.124678,0.083486,-685.695636,-685.687826,-685.686882,-685.728074,-0.24956,-0.03594,0.14275,0.10681
SCC1=CC=CC=C1,16,0,1,1.639,1302.2478,-669.7608602,0.128239,0.135793,0.136737,0.095046,-669.642011,-669.634456,-669.633512,-669.675204,-0.23791,-0.02686,0.132385,0.105525
SCCCC,15,0,1,1.993,921.1355,-556.6437006,0.132551,0.13983,0.140774,0.1012,-556.523168,-556.515888,-556.514944,-556.554519,-0.23482,0.00193,0.116445,0.118375
